ds,y,is_weekend,month,disease_severity,location
2018-04-03,9,0,4,1.5,Ludhiana Central
2018-04-04,5,0,4,1.4285714285714286,Ludhiana Central
2018-04-05,7,0,4,1.4482758620689655,Ludhiana Central
2018-04-06,6,0,4,1.5,Ludhiana Central
2018-04-07,5,1,4,1.4827586206896552,Ludhiana Central
2018-04-08,4,1,4,1.5,Ludhiana Central
2018-04-09,3,0,4,1.4482758620689655,Ludhiana Central
2018-04-10,8,0,4,1.5,Ludhiana Central
2018-04-11,4,0,4,1.4827586206896552,Ludhiana Central
2018-04-12,7,0,4,1.5,Ludhiana Central
2018-04-13,5,0,4,1.5,Ludhiana Central
2018-04-14,6,1,4,1.5,Ludhiana Central
2018-04-15,1,1,4,1.4482758620689655,Ludhiana Central
2018-04-16,4,0,4,1.5,Ludhiana Central
2018-04-17,5,0,4,1.5,Ludhiana Central
2018-04-18,2,0,4,1.5,Ludhiana Central
2018-04-19,4,0,4,1.5,Ludhiana Central
2018-04-20,4,0,4,1.5,Ludhiana Central
2018-04-21,3,1,4,1.5,Ludhiana Central
2018-04-22,2,1,4,1.5,Ludhiana Central
2018-04-23,3,0,4,1.5,Ludhiana Central
2018-04-24,2,0,4,1.5,Ludhiana Central
2018-04-25,1,0,4,1.5,Ludhiana Central
2018-04-26,0,0,4,1.5,Ludhiana Central
2018-04-27,1,0,4,1.5,Ludhiana Central
2018-04-28,1,1,4,1.5,Ludhiana Central
2018-04-29,2,1,4,1.5,Ludhiana Central
2018-04-30,3,0,4,1.5,Ludhiana Central
2018-05-01,7,0,5,1.5,Ludhiana Central
2018-05-02,4,0,5,1.5,Ludhiana Central
2018-05-03,2,0,5,1.5,Ludhiana Central
2018-05-04,7,0,5,1.5,Ludhiana Central
2018-05-05,10,1,5,1.5,Ludhiana Central
2018-05-06,3,1,5,1.5,Ludhiana Central
2018-05-07,3,0,5,1.4482758620689655,Ludhiana Central
2018-05-08,9,0,5,1.5,Ludhiana Central
2018-05-09,5,0,5,1.5,Ludhiana Central
2018-05-10,8,0,5,1.5,Ludhiana Central
2018-05-11,3,0,5,1.5,Ludhiana Central
2018-05-12,3,1,5,1.4482758620689655,Ludhiana Central
2018-05-13,2,1,5,1.5,Ludhiana Central
2018-05-14,5,0,5,1.4482758620689655,Ludhiana Central
2018-05-15,4,0,5,1.5,Ludhiana Central
2018-05-16,1,0,5,1.5,Ludhiana Central
2018-05-17,3,0,5,1.5,Ludhiana Central
2018-05-18,3,0,5,1.5,Ludhiana Central
2018-05-19,4,1,5,1.5,Ludhiana Central
2018-05-20,1,1,5,1.5,Ludhiana Central
2018-05-21,7,0,5,1.5,Ludhiana Central
2018-05-22,3,0,5,1.5,Ludhiana Central
2018-05-23,3,0,5,1.5,Ludhiana Central
2018-05-24,8,0,5,1.5,Ludhiana Central
2018-05-25,10,0,5,1.4827586206896552,Ludhiana Central
2018-05-26,5,1,5,1.5,Ludhiana Central
2018-05-27,8,1,5,1.4482758620689655,Ludhiana Central
2018-05-28,8,0,5,1.5,Ludhiana Central
2018-05-29,6,0,5,1.5,Ludhiana Central
2018-05-30,7,0,5,1.5,Ludhiana Central
2018-05-31,9,0,5,1.5,Ludhiana Central
2018-06-01,9,0,6,1.5,Ludhiana Central
2018-06-02,6,1,6,1.5,Ludhiana Central
2018-06-03,5,1,6,1.5,Ludhiana Central
2018-06-04,4,0,6,1.3928571428571428,Ludhiana Central
